,xm,bj,xb,yw,sx,wy,zz,ls,dl,wl,hx,sw,wlfk
691,ji_xian_zhong,1114,nan,91,74,76,92,98,92,86,98,90,li_ke
692,quan_chao_gui,1114,nan,83,86,82,95,89,98,89,88,86,li_ke
693,yan_xin_e,1114,nv,86,95,87,97,94,84,74,96,82,li_ke
694,luo_meng,1114,nv,86,81,85,92,91,98,74,94,93,li_ke
695,ji_zhi_yong,1114,nan,93,87,88,93,86,92,77,94,84,li_ke
696,ke_ting,1114,nv,87,82,92,91,95,100,75,86,85,li_ke
697,wei_jiang_tao,1114,nan,85,80,83,92,86,94,78,98,93,li_ke
698,cui_qi,1114,nv,88,81,86,90,86,88,81,96,90,li_ke
699,wu_zheng_lin,1114,nan,88,88,86,71,85,92,87,94,90,li_ke
700,cang_wang_jin,1114,nan,86,75,81,89,91,90,87,84,96,li_ke
701,ru_ke,1114,nan,83,77,93,84,87,90,85,96,83,li_ke
702,ding_gu_zheng,1114,nan,86,70,84,96,81,88,88,94,90,li_ke
703,ru_yun_fang,1114,nv,89,87,80,92,82,92,76,96,82,li_ke
704,ji_wei_meng,1114,nan,81,84,91,96,94,88,78,88,75,li_ke
705,jing_zhi_lin,1114,nv,85,92,85,95,92,88,77,78,82,li_ke
706,ge_yuan_xiao,1114,nan,86,90,93,86,80,92,86,82,79,li_ke
707,fei_ta_jiang,1114,nan,85,78,84,94,86,90,76,88,90,li_ke
708,suo/suo_zuo_jun,1114,nan,86,77,85,87,96,92,76,88,84,li_ke
709,li_ting_ting,1114,nv,84,88,92,93,77,82,79,90,85,li_ke
710,che_xin_jie,1114,nan,88,86,89,83,89,85,73,94,79,li_ke
711,zhong_ling_yang,1114,nv,80,77,81,92,82,94,80,92,87,li_ke
712,fang_gong_bei,1114,nv,85,94,87,89,83,88,78,82,75,li_ke
713,yu_jin_beng,1114,nan,82,84,80,88,81,84,85,92,77,li_ke
714,su_zhi_yun,1114,nan,82,84,77,80,86,89,74,94,86,li_ke
715,yang_gao_yu,1114,nan,85,73,73,86,77,90,80,94,93,li_ke
716,wei_jun,1114,nan,81,92,79,93,72,92,78,86,75,li_ke
717,shi_ji_hai,1114,nan,84,79,67,88,83,94,77,90,85,li_ke
718,xun_tian_qing,1114,nv,88,80,66,86,86,86,66,92,89,li_ke
719,niu_shao_wen,1114,nan,85,74,74,90,86,88,64,92,73,li_ke
720,ji_xian_you,1114,nan,86,84,84,83,83,91,68,66,73,li_ke
721,ben_jing_jiao,1114,nv,83,83,75,86,85,94,43,88,78,li_ke
722,gu_xu_wen,1114,nan,78,74,80,93,76,92,58,92,72,li_ke
723,zhao_yan_cheng,1114,nan,79,68,79,80,80,86,68,84,82,li_ke
724,fang_duo_jiang,1114,nan,78,64,82,81,77,82,79,82,66,li_ke
725,fang_shun,1114,nan,77,62,78,77,67,80,50,60,70,wen_ke
726,ke_li/li,1115,nv,88,89,91,95,93,94,91,100,99,li_ke
727,ji_li_nian,1115,nan,86,94,86,94,90,96,94,98,93,li_ke
728,bie_shen_hong,1115,nan,86,97,88,91,98,100,89,94,85,li_ke
729,deng_xiang,1115,nan,86,96,84,89,92,92,91,100,89,li_ke
730,hong_gu_wang,1115,nan,83,98,86,95,84,94,84,100,92,li_ke
731,chai_heng,1115,nan,90,83,92,93,92,96,85,96,88,li_ke
732,xiao_jiang_lin,1115,nan,85,98,83,85,88,92,90,100,93,li_ke
733,che_qing_ri,1115,nan,88,96,87,97,86,93,82,94,88,li_ke
734,shi_lin_zhi,1115,nan,86,89,83,92,83,97,91,92,93,li_ke
735,qi_zhi_teng,1115,nan,87,97,88,90,92,91,84,90,87,li_ke
736,chu_dong_sheng,1115,nan,84,87,88,87,90,96,80,96,93,li_ke
737,bing_bin,1115,nan,84,87,84,94,91,96,83,96,86,li_ke
738,xu_tao,1115,nan,80,88,85,93,89,90,86,100,86,li_ke
739,ji_qing_ling,1115,nv,85,92,87,95,81,88,87,94,86,li_ke
740,cang_zhen_run,1115,nan,79,83,93,88,88,94,84,100,84,li_ke
741,peng_cheng_yong,1115,nan,80,87,85,88,83,90,92,98,88,li_ke
742,dang_liang_shun,1115,nan,82,89,83,94,85,98,83,88,88,li_ke
743,yi_lian_kun,1115,nan,86,90,85,82,88,88,86,92,90,li_ke
744,kong_he_xiang,1115,nan,91,83,77,91,86,94,89,92,83,li_ke
745,shao_jie_de,1115,nan,87,78,88,89,87,94,84,98,79,li_ke
746,cu_xiu_fa,1115,nan,90,91,89,87,86,80,78,92,88,li_ke
747,lv_xiu_fang,1115,nv,81,95,88,86,68,96,88,92,85,li_ke
748,kang_ya_li,1115,nv,78,91,81,89,93,94,85,90,78,li_ke
749,sun_fu_beng,1115,nan,88,80,87,92,84,88,88,90,79,li_ke
750,cui_xiao_long,1115,nan,84,82,84,90,84,92,85,90,83,li_ke
751,xuan_xiao_mei,1115,nv,92,83,88,93,88,93,72,82,83,li_ke
752,bao_xiao_rong,1115,nv,90,74,87,93,85,90,85,92,78,li_ke
753,tong_chan,1115,nan,85,88,89,88,83,92,89,82,74,li_ke
754,hong_xiao_fang,1115,nv,83,86,85,95,79,96,75,86,84,li_ke
755,shi_zong_xue,1115,nan,82,78,85,89,89,88,81,94,80,li_ke
756,yan_qing_shan,1115,nan,88,87,82,82,86,94,75,86,81,li_ke
757,jing_jie,1115,nan,87,85,79,91,86,94,75,84,80,li_ke
758,bie_zuo_dong,1115,nan,87,91,86,90,72,92,67,90,85,li_ke
759,li/li_yun_yun,1115,nan,87,82,78,96,81,94,67,88,84,li_ke
760,zhang_liang_beng,1115,nan,0,0,0,0,0,0,0,0,0,li_ke
761,que_xiang_yue,1115,nan,82,82,81,89,79,84,91,88,80,li_ke
762,ni_qi_bei,1115,nan,79,74,75,89,81,86,86,94,84,li_ke
763,mao_fu_wen,1115,nan,82,72,81,92,86,82,72,90,88,li_ke
764,ji_teng_jun,1115,nan,79,89,72,84,87,86,73,88,81,li_ke
765,sun_rong_hua,1115,nan,81,79,79,87,92,86,72,84,79,li_ke
766,ju_xiu_lin,1115,nan,78,62,79,94,93,90,83,86,74,li_ke
767,liu_li_bin,1115,nan,88,73,84,87,81,84,81,88,73,li_ke
768,liu_ji,1115,nv,91,85,88,89,61,92,71,82,79,li_ke
769,ji_bing,1115,nan,88,68,77,91,82,87,62,88,67,li_ke
770,tan_guan_fa,1115,nan,79,78,70,83,86,86,76,78,70,li_ke
771,ying_shang_qing,1115,nan,87,63,55,93,100,94,43,88,82,li_ke
772,xu_hong_beng,1115,nan,85,59,89,80,85,82,61,64,75,li_ke
773,chang_xiao_feng,1115,nan,81,62,76,89,76,91,49,68,74,li_ke
774,zheng_mu_hai,1115,nan,72,59,82,92,85,82,59,58,55,li_ke
